Id,Product URL,Title,Make,Model,Year,Trim,Price,Stock Type,Seller Name,Phone Number
02df13fb-2e92-4dae-8a24-5832ce22de9f,https://www.cars.com/vehicledetail/02df13fb-2e92-4dae-8a24-5832ce22de9f,2024 Audi Q4 e-tron 55,Audi,Q4 e-tron,2024,55,"$60,455 ",New,Audi Exchange Kirkwood,314-946-5527
2f71ccdc-d876-42be-9870-5beeaee43449,https://www.cars.com/vehicledetail/2f71ccdc-d876-42be-9870-5beeaee43449,2024 Audi Q8 e-tron Premium Plus,Audi,Q8 e-tron,2024,Premium Plus,"$85,785 ",New,Audi Lehi,888-731-9341
e4e0e7e0-2d58-4cf5-ad4e-bb0ee85f0aae,https://www.cars.com/vehicledetail/e4e0e7e0-2d58-4cf5-ad4e-bb0ee85f0aae,2024 Audi RS e-tron GT quattro,Audi,RS e-tron GT,2024,quattro,"$153,690 ",New,Desert European Motorcars,760-904-3478
e9cfa24d-1138-4c80-8be2-a7ff3bef92ad,https://www.cars.com/vehicledetail/e9cfa24d-1138-4c80-8be2-a7ff3bef92ad,2023 Audi Q4 e-tron Premium Plus 40 RWD,Audi,Q4 e-tron,2023,Premium Plus 40 RWD,"$35,777 ",Used,AutoNation Audi Volkswagen Spokane,888-929-4573
5dc8e95a-ab27-47d5-bd58-dc6b8fa9e4cf,https://www.cars.com/vehicledetail/5dc8e95a-ab27-47d5-bd58-dc6b8fa9e4cf,2021 Audi e-tron Sportback Premium Plus,Audi,e-tron Sportback,2021,Premium Plus,"$32,989 ",Used,Corwin Ford,208-696-3024
53c95f99-54e0-47af-8e0b-972e8a9c2f8c,https://www.cars.com/vehicledetail/53c95f99-54e0-47af-8e0b-972e8a9c2f8c,2024 Audi Q4 e-tron Prestige 50 quattro,Audi,Q4 e-tron,2024,Prestige 50 quattro,"$46,559 ",Used,Niello Acura,916-945-2598
d3d1dd3e-07cb-4d58-8035-8ee154caec33,https://www.cars.com/vehicledetail/d3d1dd3e-07cb-4d58-8035-8ee154caec33,2019 Audi e-tron Premium Plus,Audi,e-tron,2019,Premium Plus,"$27,195 ",Used,Automotive Avenues,866-983-9796
ef93466c-2239-48dd-aaec-1f5f0404bac9,https://www.cars.com/vehicledetail/ef93466c-2239-48dd-aaec-1f5f0404bac9,2024 Audi Q4 e-tron Sportback Premium Plus 55 quattro,Audi,Q4 e-tron Sportback,2024,Premium Plus 55 quattro,"$67,875 ",New,Steve White Volkswagen Audi - Greenville,866-620-7872
e2eb941f-8e6b-45a3-88d3-f0e6f44dd03a,https://www.cars.com/vehicledetail/e2eb941f-8e6b-45a3-88d3-f0e6f44dd03a,2019 Audi e-tron Premium Plus,Audi,e-tron,2019,Premium Plus,"$20,900 ",Used,Automay Car Sales,888-885-8925
f25e3d8b-4829-49df-a3ad-c72523ba5c6b,https://www.cars.com/vehicledetail/f25e3d8b-4829-49df-a3ad-c72523ba5c6b,2024 Audi Q8 e-tron Prestige,Audi,Q8 e-tron,2024,Prestige,"$83,320 ",New,Hiley Automotive Group,256-850-0358
